Lat,Lon,"City, State",Victim,Solved,,,
30.870189,-85.161874,"Greenswood, Florida",Claude Neal,Unsolved,,,
31.08962,-91.068438,"Centreville, Mississippi",Samuel O’Quinn,Unsolved,,,
32.612638,-90.036751,"Canton, Mississippi",Herbert Orsby,Solved,,,
35.108493,-77.044114,"New Bern, North Carolina",Will Owens,Solved,,,
30.840186,-89.534231,"Poplarville, Mississippi",Mack Charles Parker,Unsolved,,,
35.149534,-90.04898,"Memphis, Tennessee",Larry Payne,Solved,,,
32.460976,-84.987709,"Columbus, Georgia",Charles Horatious Pickett,Solved,,,
32.509311,-92.119301,"Monroe, Louisiana",Albert Pitts,Solved,,,
32.509311,-92.119301,"Monroe, Louisiana",David Pitts,Solved,,,
40.712784,-74.005941,"New York City, New York",Jimmy Powell,Unsolved,,,
34.934255,-88.52227,"Corinth, Mississippi",William Roy Prather,Unsolved,,,
31.711553,-91.060661,"Fayette, Mississippi",Johnny Queen,Unsolved,,,
34.001778,-88.755329,"Okolona, Mississippi",Donald Rapsberry,Solved,,,
32.407359,-87.021101,"Selma, Alabama",James Reeb,Solved,,,
32.500704,-94.740489,"Longview, Texas",James Earl Reese,Solved,,,
32.550347,-80.297137,"Edisto Island, South Carolina",Fred Robinson,Unsolved,,,
33.520661,-86.80249,"Birmingham, Alabama",Johnnie Robinson,Solved,,,
32.283773,-83.472118,"Hawkinsville, Georgia",Willie Joe Sanford,Unsolved,,,
32.771523,-89.116728,"Philadelphia, Mississippi",Michael Schwerner,Unsolved,,,
29.951066,-90.071532,"New Orleans, Louisiana",Marshall Scott,Unsolved,,,
32.855133,-90.405647,"Yazoo City, Mississippi",Jessie James Shelby,Solved,,,
32.298757,-90.18481,"Jackson, Mississippi",Ollie Shelby,Solved,,,
35.292351,-81.535646,"Shelby, North Carolina",George Singleton,Solved,,,
31.436279,-88.474466,"Stateline, Mississippi",Ed Smith,Solved,,,
33.49182,-80.855648,"Orangeburg, South Carolina",Henry Smith,Unsolved,,,
31.579059,-90.440651,"Brookhaven, Mississippi",Lamar Smith,Solved,,,
32.55709,-84.238248,"Butler, Georgia",Maceo Snipes,Solved,,,
32.298757,-90.18481,"Jackson, Mississippi",Eddie Stewart,Solved,,,
33.725948,-90.551481,"Ruleville, Mississippi",Isaiah Taylor,Solved,,,
33.651229,-90.209252,"Money, Mississippi",Emmett Till,Solved,,,
29.424122,-98.493628,"San Antonio, Texas",Ann Thomas,Solved,,,
33.408041,-90.208641,"Sidon, Mississippi",Freddie Lee Thomas,Solved,,,
31.327119,-89.290339,"Hattiesburg, Mississippi",Selma Trigg,Solved,,,
29.424122,-98.493628,"San Antonio, Texas ",Ladislado Ureste,Solved,,,
33.748995,-84.387982,"Atlanta, Georgia",Hulet Varner,Solved,,,
31.104619,-91.299555,"Woodville, Mississippi",Clifton Walker,Unsolved,,,
33.520661,-86.80249,"Birmingham, Alabama",Virgil Ware,Solved,,,
33.007934,-81.308441,"Allendal, South Carolina",James Waymers,Solved,,,
31.560444,-91.403171,"Natchez, Mississippi",Ben Chester White,Solved,,,
32.523205,-92.637927,"Ruston, Louisiana",Robert Wilder,Solved,,,
31.990981,-87.290546,"Camden, Alabama",Rodell Williamson,Solved,,,
31.990981,-87.290546,"Camden, Alabama",Archie Wooden,Solved,,,
32.430237,-85.707727,"Tuskagee, Alabama",Samuel Younge,Solved,,,
