Country,GDP per Capita (2011),Life Expectancy (2011),Population Size (2011),Region
Slovenia,12688.65168,79.9,2059023,Europe
Solomon Islands,1214.855148,63,537648,Oceania
South Africa,3825.093781,56.6,52237272,Africa
Spain,15428.32098,82,46708366,Europe
Sri Lanka,1402.121673,76.4,"20,315,673",Asia
Sudan,561.8427214,66.3,36918193,Africa
Swaziland,1813.544908,48,1212458,Africa
Sweden,33630.24604,81.7,9462352,Europe
Switzerland,39170.41371,82.6,"7,925,813",Europe
Tajikistan,295.3601307,70.1,7753925,Asia
Tanzania,473.8812365,61.7,47122998,Africa
Thailand,2699.123242,74.3,66902958,Africa
Timor-Leste,451.9825986,71.3,1077602,Asia
Togo,273.1075134,59.6,6566179,Africa
Tonga,2162.151892,70.8,104392,Oceania
Trinidad and Tobago,10047.90319,71.9,1334790,America
Tunisia,3050.885999,77.2,10758870,Africa
Turkey,5741.410398,78.8,73517002,Asia
Turkmenistan,1370.427756,68.5,5106672,Asia
Uganda,392.7088001,58.6,34260342,Africa
Ukraine,1094.681152,71.1,45477690,Europe
United Arab Emirates,21058.43643,75.5,8734722,Asia
United Kingdom,28272.40661,80.5,63164949,Europe
United States,37691.02733,78.9,"312,390,368",America
Uruguay,9581.05659,76.3,"3,385,610",America
Uzbekistan,992.7613654,70.6,28158395,Asia
Vanuatu,1522.528302,64.1,241876,Oceania
Venezuela,5671.912202,74.8,29427631,America
Vietnam,757.4009286,74.7,89321903,Asia
Yemen,528.3986734,66.6,24234940,Asia
Zambia,443.9206307,53.7,14343526,Africa
Zimbabwe,347.7456605,51.6,14255592,Africa
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
