,<20,21-49,>50
Alabama,35.7,42.5,21.8
Arkansas,47.6,34.7,17.7
Auburn,31.9,51.9,16.2
Florida,47.8,36.7,15.4
Georgia,45.5,43.5,11
Kentucky,31.2,52.7,16.1
LSU,36.3,41.7,22
Mississippi,40.9,42.2,16.9
Mississippi State,34.7,50.2,15.1
Missouri,39.8,42.7,17.5
South Carolina,36.4,46.7,16.9
Tennessee,29.7,57,13.3
Texas A&M,22,52.2,25.8
Vanderbilt,66.4,24.9,8.7
